Social Security Number,Name,Race,Country,Sentence_lenght
760-73-7543,Kelley Backshill,Paiute,Saint Kitts and Nevis,24
620-77-8243,Kamillah Pendrick,Yaqui,Indonesia,199
250-20-7127,Timothy Hunday,Bangladeshi,Portugal,232
690-12-2430,Diena Dumbleton,Salvadoran,Indonesia,135
108-18-6580,Karol Eggleston,Alaska Native,Ireland,157
795-46-4252,Davita Danett,Salvadoran,Democratic Republic of the Congo,313
390-66-9033,Lamond Tordiffe,Samoan,Tanzania,318
551-67-1791,Aaren Bryns,Pima,France,295
277-54-6248,Budd Coggill,Pakistani,Czech Republic,124
740-29-0125,Ara Fromont,Chippewa,Dominican Republic,310
265-66-0427,Ralph Luscott,Ecuadorian,Papua New Guinea,85
540-97-9672,Katharine Mc Pake,Creek,Czech Republic,111
278-86-5034,Dru Gronno,Sioux,Kazakhstan,282
744-05-3107,Genni Livock,Cherokee,China,80
382-30-8892,Dolly Revitt,South American,France,360
427-85-2372,Nathanial Gilliver,Yakama,China,226
301-22-1495,Shandy Du Hamel,Latin American Indian,China,145
276-03-5807,Jess Pays,Black or African American,Iceland,315
500-75-2381,Tarra Swendell,Cheyenne,Mexico,153
580-38-6558,Ailene Juster,Crow,Haiti,87
487-35-2352,Janet Colebeck,Malaysian,China,94
837-51-5771,Joey Corthes,Mexican,Brazil,156
559-56-5690,Loella Kellet,Salvadoran,China,262
264-50-8312,Germayne Jemison,Central American,Russia,293
411-59-3010,Tiphani Richley,White,Japan,168
669-58-3280,Rosalinda Bloyes,Indonesian,China,238
524-91-2784,Mateo Grishakov,Menominee,Indonesia,190
448-18-0774,Yorke Sonier,American Indian,Colombia,300
237-02-9925,Noah Teresia,Kiowa,Brazil,248
776-88-0086,Shaine Bess,Micronesian,Philippines,224
287-45-3753,Valentijn Joiris,Tongan,Brazil,6
286-32-1135,Dorotea Ditzel,Central American,Bulgaria,83
628-07-7293,Van Radenhurst,Ecuadorian,France,342
473-43-0158,Christin Allebone,Central American,Brazil,335
242-42-2469,Shep Treadgall,Paiute,Japan,11
401-86-6537,Eada Poluzzi,Tlingit-Haida,China,62
589-82-8759,Kamila Tellesson,Potawatomi,Sweden,170
571-61-2279,Dolf Bernuzzi,Colombian,Sweden,208
828-55-4555,Emmalee Millership,Ecuadorian,Japan,56
576-69-8934,Eugenie Padmore,Dominican (Dominican Republic),Finland,396
242-48-3244,Curtice Ervin,Venezuelan,China,133
467-99-5396,Florencia Neenan,Salvadoran,Peru,69
713-46-1368,Cobb Haulkham,Chilean,Japan,52
527-02-0687,Jameson Prest,Bangladeshi,France,326
819-60-0323,Taddeusz Larkings,Asian Indian,Chile,211
495-33-2017,Vincents Presidey,Dominican (Dominican Republic),China,327
650-95-9798,Elly Charnley,Navajo,China,390
193-40-9759,Rivalee Garza,Kiowa,Philippines,9
594-18-9137,Hill Ladlow,Japanese,Indonesia,377
244-16-6161,Zitella Toffalo,Guamanian,Indonesia,210
816-40-5312,Fredrick Acuna,Sioux,China,226
517-59-6890,Jada Whitewood,American Indian and Alaska Native (AIAN),Guatemala,269
270-80-0388,Celestyna Brickwood,Fijian,Cuba,27
821-79-8102,Salvador Barkley,Asian Indian,Mongolia,216
282-67-1658,Becka Goodoune,Kiowa,China,377
607-37-0029,Orel McElrath,Taiwanese,Mexico,267
735-94-0601,Virgil Stockney,Dominican (Dominican Republic),Indonesia,119
287-51-1673,Mattie Janodet,Bangladeshi,Indonesia,105
891-71-9893,Darsey Rockcliffe,Pakistani,Russia,238
339-63-0542,Jeremy Stonebanks,American Indian,Australia,160
481-35-2560,Huberto Konrad,Alaska Native,Brazil,128
874-11-2504,Durward Kibbel,Delaware,Portugal,232
422-15-0848,Bettye Allnatt,Houma,Indonesia,223
579-65-1704,Jeannette Pollington,Tongan,France,342
716-79-7778,Candra Derges,Seminole,Sweden,57
737-21-9706,Case Hearn,Iroquois,Australia,349
796-25-6183,Corabelle Cosby,Nicaraguan,Indonesia,95
831-01-4238,Francine Phelp,Native Hawaiian,Malta,147
616-58-5096,Nikos De Simoni,Cambodian,Portugal,235
413-33-8904,Oralie Bonnick,Menominee,Indonesia,95
852-81-3246,Brock Tinsey,Costa Rican,China,370
199-86-7663,Dorie Jovis,Potawatomi,Mongolia,391
635-50-3557,Tilly Quare,Ecuadorian,South Korea,211
295-34-4430,Wendell Sebborn,Native Hawaiian and Other Pacific Islander (NHPI),Philippines,116
329-90-5880,Sunshine Winckle,Paiute,Croatia,240
779-94-1743,Nessa Hindhaugh,Taiwanese,United States,80
851-75-9707,Aeriela Rosenstock,Black or African American,China,134
104-50-8520,Jacqueline Aveline,Colville,Indonesia,311
376-09-2183,Philis Tythe,Ute,Brazil,108
894-21-3355,Silvia Braikenridge,Guatemalan,Philippines,49
352-79-8929,Lenette Broe,Salvadoran,South Africa,321
325-53-0340,Gratia Izkovicz,Polynesian,China,322
652-41-4235,Garwin Dunseath,Tohono O'Odham,Greece,346
308-62-9957,Arnoldo Patifield,Bolivian,Brazil,151
367-38-4502,Meg Risbrough,Bangladeshi,Canada,351
770-02-9799,Giacopo Face,Asian,Chile,231
805-99-7172,Tabitha Molen,Thai,Indonesia,169
299-21-4417,Thomasina Crannis,Ute,Indonesia,143
416-03-4162,Aura Reinhart,Costa Rican,Indonesia,295
526-75-7776,Monti Whybray,Nicaraguan,Mali,326
460-35-0065,Anjanette Tellenbach,Korean,China,174
437-31-0617,Idalina Gamett,Puerto Rican,China,191
172-53-8612,Vince Eyckel,Laotian,China,175
642-33-4261,Allister Mayoral,Chamorro,South Korea,375
643-55-0494,Terrence Mongain,Indonesian,China,198
393-78-9939,Binnie Flann,Colombian,Ethiopia,27
298-02-0548,Olag Bednall,Salvadoran,Russia,251
729-98-4171,Meryl MacCheyne,Blackfeet,China,381
496-96-8178,Karen Fildery,Polynesian,Sweden,219
632-90-8603,Byron Hylton,Cambodian,Bangladesh,63
749-13-9859,Mariel Manktelow,Ecuadorian,China,221
707-64-8867,Donielle Trustie,Yaqui,Czech Republic,284
844-24-0249,Anabal Thresh,Bolivian,Argentina,261
225-11-8805,Paulette Staden,Yakama,Russia,187
733-77-6429,Nelly Doidge,Nicaraguan,Morocco,179
362-74-0540,Kalvin Hannigane,Pakistani,China,296
576-84-1060,Sterling Bande,Paiute,China,280
200-11-4873,Chloette McKernon,Menominee,China,125
126-66-8560,Tracy Lightoller,Spaniard,Mongolia,241
866-64-8504,Ermengarde Arthur,Central American,China,342
644-28-8121,Ernest Hrihorovich,Korean,United States,126
253-93-3377,Kippie Slimm,Osage,Russia,186
839-52-7202,Natalya Battison,Paraguayan,Brazil,157
620-76-4373,Bart Mulvy,Native Hawaiian,Philippines,133
211-15-0150,Lazar Bachmann,Japanese,United States,294
870-69-9609,Atlanta Kilfoyle,Malaysian,Sweden,91
338-76-1800,Jehu Guerro,Iroquois,China,84
249-34-6544,Marlie Pietesch,Micronesian,Thailand,187
488-84-7028,Lucretia Plaster,Nicaraguan,Brazil,318
620-45-0928,Erik Morefield,Lumbee,Brazil,327
485-33-7527,Glennis Dickon,Colombian,China,159
143-24-7324,Brion Downie,Chilean,Poland,204
574-15-5667,Letizia Boydon,American Indian and Alaska Native (AIAN),Democratic Republic of the Congo,263
677-03-1107,Farlie Skyrme,Menominee,Argentina,144
127-79-6470,Filberte Perrin,Cherokee,Argentina,143
175-46-6348,Nanny Velti,Osage,Canada,256
774-73-5103,Caresa Catmull,Central American,Japan,15
603-24-9611,Lyndell Worters,Chinese,Czech Republic,353
801-73-5841,Dottie McCaghan,Potawatomi,United States,327
419-99-9392,Kayne Durno,Chinese,Russia,187
248-22-0584,Paten Eckford,Indonesian,Portugal,318
318-94-2547,Issy L'Hommeau,Navajo,Ireland,136
633-20-0943,Lynnett Dransfield,American Indian and Alaska Native (AIAN),Bosnia and Herzegovina,207
318-67-6234,Caritta Daville,Samoan,Pakistan,208
488-02-9406,Rooney Ugolini,Cree,Brazil,97
842-57-9656,Ondrea Shalloe,Creek,Colombia,213
888-24-3566,Luelle Booeln,Potawatomi,Indonesia,167
142-58-5382,Clywd Roxburgh,Ecuadorian,Philippines,6
176-77-2628,Cointon Kubica,Tongan,China,278
798-51-2187,Cris Worsam,Tongan,Egypt,175
415-78-8649,Elvira Shreenan,Paiute,China,329
761-19-1775,Nicolle Maw,Pima,France,34
401-25-0667,Carolee Hagston,Guamanian,Peru,162
393-53-4125,Shaun Ebbs,Cree,Jordan,289
870-09-0229,Dari Obee,Alaska Native,Thailand,269
510-71-8570,Luce Sallarie,Thai,Indonesia,214
303-34-2066,Fanny Wager,Japanese,Democratic Republic of the Congo,308
588-18-6856,Adara Purdon,Fijian,Peru,51
568-51-5379,Felicio Taborre,Chippewa,Argentina,341
637-81-0860,Stefania Domone,Central American,Indonesia,9
297-68-2275,Yasmeen Valentim,Paiute,China,205
463-18-4105,Lorene Heffy,Uruguayan,Libya,295
493-36-2776,Hernando Mollett,Native Hawaiian and Other Pacific Islander (NHPI),France,194
604-20-3494,Fernando Revens,Asian Indian,United States,148
314-40-5324,Siffre O'Mullaney,Asian,Uganda,102
464-77-3324,Elnora Jenkerson,Filipino,Morocco,251
712-49-3204,Patsy Addison,Peruvian,Kazakhstan,178
268-23-2825,Selina Grayland,Uruguayan,China,118
593-68-4550,Carlos Krzyzanowski,Lumbee,Thailand,201
853-33-4815,Irwinn Waldera,Houma,Republic of the Congo,330
516-79-9237,Melonie Ciccarelli,Fijian,Philippines,384
238-41-4944,Annissa Crigin,Nicaraguan,China,108
120-56-8960,Rici Drioli,Taiwanese,China,129
343-21-1530,Donnell Poulsom,Alaskan Athabascan,China,231
785-26-6589,Tamma Penlington,Colville,Brazil,186
296-05-8393,Ronny Joselin,Ute,Indonesia,85
234-72-7060,Liana Myrie,Aleut,Nigeria,147
619-76-2560,Codi Kilmaster,Tlingit-Haida,Bosnia and Herzegovina,244
512-50-0875,Venita Delve,Shoshone,China,157
388-67-1535,Farand Verlander,Argentinian,France,353
888-35-7996,Evelina Bankes,Central American,Syria,309
263-42-4130,Kristel Iacomi,Honduran,Sweden,98
468-70-5335,Fonz Sinderson,Spaniard,Bosnia and Herzegovina,306
386-84-8281,Kenneth Imison,Latin American Indian,Armenia,357
145-21-2046,Carmelle Mehaffey,Yuman,Brazil,94
101-25-6034,Lenette Anscombe,Blackfeet,Indonesia,269
108-74-3254,Christophorus Martins,Eskimo,Sweden,196
291-14-8891,Field Hingeley,Yuman,Cuba,174
129-24-7623,Rod Suffe,Osage,China,29
740-04-9777,Lester Ortner,Laotian,China,327
578-25-2435,Keeley Bonnar,Micronesian,Myanmar,64
513-50-6774,Rey Leber,American Indian,Indonesia,309
805-70-3965,Meredeth Gauler,Melanesian,Jamaica,301
378-82-1632,Dorisa Branchett,Colville,China,316
129-70-5598,Judah Legerwood,Thai,Czech Republic,22
752-38-3538,Jo-anne Scottini,Samoan,Philippines,182
528-07-3262,Ernaline Plaster,Tohono O'Odham,South Africa,9
535-71-4373,Colleen Reeves,Latin American Indian,China,336
713-85-6447,Guillermo Pasticznyk,Tongan,Slovenia,360
542-84-9053,Veronique Devin,Potawatomi,Namibia,377
790-59-2722,Devy Poff,Chamorro,Colombia,35
636-77-6656,Willette Littledyke,Tohono O'Odham,Japan,320
695-17-4554,Patsy Cassells,Chippewa,Indonesia,65
492-93-7744,Gelya Schiell,Ottawa,Vietnam,347
745-28-0990,Agosto Hilbourne,Seminole,Canada,396
853-51-1409,Dru Aveline,Pakistani,Cambodia,346
310-48-0093,Pete Pretley,Polynesian,Palestinian Territory,99
618-24-3140,Micky Lawty,Cambodian,Maldives,9
658-55-8259,Kelcy Rustadge,Yaqui,China,240
770-70-5343,Keelia Nolan,Puget Sound Salish,Indonesia,67
596-34-5145,Fayina Cassley,Bolivian,China,252
490-78-3745,Shalom Levey,Alaska Native,Indonesia,118
628-43-5609,Caresa Sawkins,Lumbee,China,162
411-24-8290,Beret Motton,Melanesian,Indonesia,77
696-74-5223,Melvin Costi,Eskimo,China,82
359-71-3173,Merrel Avard,Guatemalan,China,362
358-16-8183,Arlen Gooch,Japanese,Russia,151
299-17-4841,Barry Sizzey,Chickasaw,Indonesia,106
345-70-2560,Hurlee Crippin,Colombian,Mongolia,170
249-73-7135,Isabella Gringley,Honduran,Brazil,217
895-75-2342,Gibby Hurtic,Pueblo,China,39
340-09-8749,Leodora Baraja,Potawatomi,Russia,93
382-62-0341,Pedro Sutch,Asian,Croatia,335
877-19-3700,Artemis Antunez,Aleut,Russia,297
612-89-9864,Dannye Spykins,Peruvian,Indonesia,240
443-11-2838,Ethyl Dodell,Puget Sound Salish,United States,293
763-19-2366,Darb McKibbin,Menominee,Indonesia,351
643-71-0811,Justis Aisbett,Native Hawaiian and Other Pacific Islander (NHPI),Ukraine,391
659-71-8653,Corabel Joseland,Malaysian,Tajikistan,24
898-90-0331,Humberto Tunstall,Thai,Russia,244
566-57-1485,Chloette Puttrell,Chickasaw,Sweden,319
191-55-2381,Adelbert Slinn,Melanesian,Russia,196
498-62-0635,Law Deverale,Spaniard,Portugal,80
314-07-3651,Cesare Luquet,Panamanian,Chile,204
330-18-5108,Dannel Kopecka,Chilean,United States,167
603-88-9260,Nanon Gleadle,Lumbee,Angola,155
315-97-2232,Ricky Flatley,Navajo,Latvia,82
360-19-9786,Chiquita Baison,White,Indonesia,89
774-70-5542,Leelah Haseman,Cree,Indonesia,387
404-76-6297,Nichole Deeves,Comanche,Brazil,391
829-05-8097,Lorrayne Westwick,Cambodian,Niger,266
735-63-9035,Trudey Conerding,Cheyenne,Croatia,170
378-54-1695,Ernie Tremblot,Crow,Russia,214
524-01-3032,Kaine Kitchingman,Dominican (Dominican Republic),Portugal,74
837-74-1086,Ariela Dunkerley,Apache,China,170
897-50-7565,Prisca Prene,Osage,Indonesia,117
283-24-4990,Annissa Friel,Bangladeshi,Indonesia,247
343-03-3198,Dawn Roddam,Chippewa,China,213
341-29-1535,Napoleon Burdfield,Chamorro,Malta,16
295-59-3493,Fredi Baiss,Creek,Sweden,335
743-48-3979,Carla Latta,Puerto Rican,Russia,317
615-20-5160,Kylen Kelinge,Houma,China,87
416-16-3545,Falito Dionisetti,Pima,Indonesia,399
605-95-5350,Orlan Woodyer,Dominican (Dominican Republic),Mongolia,37
427-08-1450,Eliot Littler,Cuban,Bosnia and Herzegovina,395
512-72-6879,Kaia Moran,Alaskan Athabascan,Venezuela,378
167-96-5249,Debby Arrigo,Alaskan Athabascan,Egypt,344
490-93-0818,Barbabra Fido,Guatemalan,Indonesia,116
230-15-3007,Gavrielle Wayon,Guamanian,Portugal,80
642-45-1030,Mona Haller,Blackfeet,Thailand,319
379-30-9114,Nona Worwood,Alaskan Athabascan,Germany,384
794-42-5524,Romonda Feldbaum,Pima,China,90
898-87-2196,Gallard Kindle,Blackfeet,China,257
863-18-4603,Carlita Garside,American Indian,China,59
809-99-6235,Trip Trodden,Cambodian,Brazil,91
228-25-5547,Kariotta Ojeda,Guamanian,South Korea,395
562-48-7807,Kettie Tour,South American,Israel,351
253-92-9696,Ruggiero Summers,Choctaw,China,363
180-23-9125,Beulah Hennemann,Laotian,France,293
377-70-0403,Ive Blaxall,Panamanian,Philippines,218
222-64-2930,Sileas Hamshaw,Yaqui,Japan,84
662-78-1941,Kriste O'Hartnett,Navajo,France,199
540-22-7666,Holt Whifen,Native Hawaiian and Other Pacific Islander (NHPI),Mexico,178
353-92-8116,Candra Ivanikhin,Chippewa,Finland,131
342-26-1163,Donal Illesley,Guatemalan,Russia,247
169-03-9785,Sharlene Blore,Blackfeet,Poland,214
274-45-1392,Lebbie Dummer,Spaniard,China,166
655-39-6249,Brier Honsch,Blackfeet,Russia,92
652-41-0935,Priscella Brome,Paiute,China,277
851-92-5119,Dosi Stillert,Guatemalan,Czech Republic,385
589-50-9003,Trix Wooffinden,Vietnamese,China,115
830-72-3331,Indira Gosse,Dominican (Dominican Republic),Spain,17
311-13-4480,Francois Rablan,Sri Lankan,Colombia,220
418-15-8319,Cissiee Barstow,Vietnamese,Nigeria,306
830-98-4755,Jasen Eagles,Pima,Nicaragua,111
315-54-1229,Georgetta Mannock,Choctaw,Poland,78
725-84-9809,Madeleine Benterman,Eskimo,Slovenia,113
486-89-3964,Fin Roake,White,Central African Republic,181
536-43-9942,Judah Maddison,Paraguayan,South Africa,222
147-25-5946,Georas Reddihough,Sioux,Swaziland,62
880-56-2368,Renie Balmforth,Yaqui,Afghanistan,45
754-76-9533,Clare Keuneke,Taiwanese,Indonesia,136
489-48-8750,Luther Miskelly,Spaniard,Peru,2
207-83-2202,Beverie Sline,Chickasaw,Indonesia,273
697-24-7630,Collette Geockle,Ute,Russia,307
112-86-7542,Jacynth Athelstan,American Indian and Alaska Native (AIAN),Finland,123
445-78-4348,Kenna Tincey,Malaysian,Ecuador,337
681-46-1845,Trever Kobieriecki,Cree,Russia,120
427-06-8876,Darlene Dominec,Puerto Rican,Lesotho,49
898-84-0155,Mead Tungay,Guatemalan,Sweden,90
384-50-0923,Guy Cathcart,Eskimo,United States,162
875-53-5049,Linet Durward,Chilean,China,319
127-39-1465,Di Jowitt,Hmong,Sweden,276
517-70-4679,Denney Hargroves,Sri Lankan,Italy,322
483-22-4234,Westleigh Renzullo,Uruguayan,China,386
704-21-0516,Gerhardine Daingerfield,Potawatomi,Philippines,392
839-58-3461,Cullin Daybell,Micronesian,Japan,22
800-30-9833,Willette Agnolo,Melanesian,Philippines,327
246-17-7136,Saxe Jedrzejewski,Tongan,Thailand,135
494-39-1433,Shelagh Mergue,Taiwanese,Colombia,208
557-23-4337,Greer Doumer,Cree,Poland,23
712-81-6444,Lorin Spanswick,Alaskan Athabascan,Argentina,164
447-23-4211,Shamus Foyle,Creek,Poland,1
456-98-8802,Luis Cochet,Crow,Ukraine,82
466-79-4390,Dud Dunthorne,Yuman,Indonesia,379
676-55-6917,Vernice De Morena,Colombian,Portugal,260
617-93-3124,Inger Chewter,Crow,China,325
617-76-9054,Garrett Klesel,Puerto Rican,Peru,305
896-09-1832,Noe Rodge,Cree,Portugal,269
680-99-0615,Goldina Dillingstone,Creek,China,20
509-86-6939,Nerty Newiss,Hmong,China,302
303-84-2630,Brittany Holcroft,Taiwanese,Indonesia,12
476-98-4351,Malena Follows,Native Hawaiian,Colombia,195
544-95-0622,Kelsi Kohrs,Colombian,Czech Republic,189
740-74-3953,Nissa Nancarrow,Creek,Sweden,362
131-88-8087,Mahmud Josifovic,Tongan,France,274
676-38-2704,Deck Ough,American Indian,Indonesia,288
358-03-9138,La verne Bibb,Yakama,Indonesia,366
291-48-1660,Galen Carnier,Puget Sound Salish,China,339
467-74-9110,Alard Pendreigh,Polynesian,Poland,215
895-03-1075,Mercie Cavilla,Comanche,France,345
484-75-2743,Sigismond Gleder,Spaniard,China,35
214-88-5462,Lorry Lunt,Alaska Native,China,103
892-19-3073,Horacio Carville,Houma,Jordan,43
115-22-3477,Ulrike Poizer,Blackfeet,Indonesia,388
105-36-6081,Audi Deniso,Black or African American,Japan,281
641-51-8611,Terra Iredell,Indonesian,Russia,10
328-47-8848,Tyrus Buterton,Ute,France,75
301-30-2652,Eleonora Carslake,Filipino,China,324
343-66-5570,Talbot Penswick,Black or African American,Indonesia,359
805-36-7771,Liliane Chander,Guamanian,China,155
871-97-7192,Ichabod Rockingham,Creek,Ireland,148
710-03-2904,Norma Brunnstein,Houma,China,222
746-48-5558,Israel Willoughley,Chamorro,Japan,83
146-37-1421,Roderick O'Scully,Taiwanese,Russia,154
560-50-7837,Leslie Blitz,Tlingit-Haida,China,13
652-78-2941,Jenni Khomich,Cree,Cuba,153
707-61-7994,Davide Hext,Japanese,China,358
681-25-3062,Gerta See,Apache,Sweden,267
177-35-3672,Adriana Dumphy,Mexican,Philippines,62
270-85-8711,Giana Gammet,Alaska Native,China,292
459-94-5589,Konstantine Huntar,Choctaw,Brazil,243
488-18-6867,Banky Grestie,Honduran,Canada,202
741-84-3286,Sawyere Lavies,Cheyenne,Canada,343
109-46-0642,Shurlocke Giercke,Navajo,Philippines,290
324-74-2175,Basil DeSousa,Choctaw,China,395
794-58-5566,Germaine Batchan,White,Russia,275
698-71-5425,Sanford Slemming,American Indian,Portugal,336
624-30-6630,Alma Peacher,Navajo,Portugal,43
540-40-8542,Rowena Ketchaside,Sioux,Malaysia,184
489-49-9134,Nicholas Gammill,Spaniard,Nicaragua,96
425-78-5189,Sigvard Smart,Chilean,Peru,96
641-12-2997,Jody Kenningham,Vietnamese,Sweden,222
392-05-8047,Sarena Delong,Costa Rican,Georgia,304
343-87-8355,Rosie McClifferty,Bangladeshi,Russia,296
239-87-8860,Alaine Stanning,Latin American Indian,Russia,125
730-58-2077,Merline Mcwhinney,Cheyenne,China,254
785-40-8069,Morse Pierrepont,American Indian,Bolivia,172
718-29-2053,Ivett Durgan,Blackfeet,Sweden,382
102-86-4561,Claretta Vardy,Native Hawaiian,Nigeria,86
880-47-5729,Merl Stansall,Sioux,Argentina,292
107-21-2289,Balduin Haitlie,Native Hawaiian,Indonesia,1
143-38-6770,Darcie Cordeux,White,Philippines,26
198-89-9894,Arlan Ferraresi,Creek,Indonesia,79
251-72-7409,Cody Layburn,Pima,Venezuela,65
418-60-0577,Ariana Duguid,Laotian,South Africa,107
672-09-9566,Crysta Saltwell,Navajo,Israel,244
658-69-2761,Lindsay Quinsee,Bangladeshi,Indonesia,60
281-50-9448,Jackie Cordelet,Potawatomi,Philippines,97
819-76-1483,Rozina Lyddy,Pakistani,Brazil,137
551-16-9413,Gert Goodison,Aleut,Indonesia,140
310-60-3900,Rochette Brownsworth,Chippewa,Uruguay,290
367-07-2501,Ame Rosso,Ute,Brazil,247
236-57-4128,Wilma Gerriessen,Filipino,Indonesia,374
515-13-5699,Karoly Grant,Colville,Poland,342
604-76-2896,Dan Parlor,Samoan,Nigeria,254
520-62-4915,Bambie MacAvddy,Latin American Indian,Brazil,339
181-38-3461,Bryon Milne,Korean,Indonesia,144
150-87-1046,Muire Faraday,Puget Sound Salish,Indonesia,177
473-20-6660,Kennett Wadman,Sioux,China,383
360-79-4124,Kristian Langrish,Alaskan Athabascan,El Salvador,34
269-97-5187,Rasla Blenkinsopp,Japanese,China,226
695-62-7771,Shelba Coffin,Tlingit-Haida,China,264
182-38-2076,Cy Vakhonin,American Indian,China,247
491-07-0485,Cele Napthine,Samoan,Mongolia,376
829-90-9363,Kingsley Roome,Navajo,China,164
201-07-9242,Hi Braunroth,Seminole,Peru,230
208-99-6178,Jud Gwinnell,Blackfeet,Uganda,189
158-34-2256,Ursola Dagworthy,Venezuelan,Nigeria,194
659-19-6496,Audrie Duffil,Guamanian,Indonesia,260
804-39-0638,Dirk Dinsale,Peruvian,Philippines,44
674-27-1355,Liza Anton,Navajo,Russia,86
889-38-3986,Kerri Mainston,Indonesian,Argentina,96
509-70-5373,Latisha Mithan,Pakistani,Guatemala,230
483-37-2158,Maribelle Redmille,Bolivian,Ukraine,264
335-30-4685,Celestyna Phizackarley,Blackfeet,Canada,181
294-50-5500,Noni Armsden,Asian Indian,Reunion,163
317-74-6141,Conny Balding,Dominican (Dominican Republic),Guatemala,264
489-47-7354,Meir Kelberer,Laotian,Montenegro,135
281-90-1471,Kurt Romayn,Taiwanese,China,33
750-47-2567,Selie Plan,Spaniard,China,355
232-52-5529,Elianore Hinkensen,Costa Rican,China,153
767-92-7058,Dolores Bracken,Choctaw,Sweden,86
329-53-8406,Mickie Pisco,Chippewa,China,91
360-99-6286,Daune MacFadden,Pakistani,Nicaragua,379
150-69-3890,Jan Duigenan,Yaqui,Pakistan,221
148-22-1619,L;urette McElvine,Thai,Philippines,52
241-43-8464,Flory Franck,Crow,Philippines,247
254-98-6454,Jeannine Holgan,Puerto Rican,Russia,173
571-95-8106,Rosemarie Fellenor,Alaska Native,Russia,193
387-05-9485,Mikael Lusk,Pueblo,Nigeria,396
512-09-9205,Sibilla Pozzi,Peruvian,China,113
508-06-8336,Bili Keays,American Indian and Alaska Native (AIAN),Thailand,36
644-17-6073,Vinny Redan,Melanesian,Sweden,331
690-09-0942,Harwell Watt,Argentinian,Sierra Leone,118
525-06-4101,Nataline Kermitt,Latin American Indian,Brazil,79
735-34-4562,Bryn Will,Korean,Poland,168
733-20-9976,Jolyn Slade,Cree,Honduras,278
375-69-1650,Melosa Seares,Menominee,Poland,365
413-62-8492,Jobyna Keyme,Yakama,Czech Republic,65
155-29-2818,Scot Mewett,Eskimo,Colombia,327
241-32-8097,Thea Origan,Black or African American,Botswana,119
850-27-3337,Galina Smartman,Creek,Philippines,285
408-72-3858,Burnard MacCaghan,Cheyenne,Indonesia,362
828-23-1650,Rog Winfindale,Apache,Maldives,52
729-06-8609,Lenore Beckey,Melanesian,China,7
610-93-7057,Sky McHenry,Argentinian,Panama,273
287-12-9776,Krispin Santen,Chilean,China,139
347-76-5395,Gerry Clackson,Filipino,Philippines,264
883-70-2262,Obadiah Morrill,Colombian,France,225
597-66-9538,Ferdinanda Denney,Peruvian,Poland,4
122-57-0320,Ivar Popping,Alaska Native,Russia,273
738-66-2715,Neille Cady,Eskimo,China,364
335-77-2092,Ethelyn Shepeard,Kiowa,United States,27
237-14-7640,Kingsly Ciccottini,Tlingit-Haida,Czech Republic,342
834-33-9778,Itch L'Hommee,Paiute,Malaysia,214
194-13-6529,Elset Sally,Japanese,Uruguay,73
827-84-7395,Angeli Rowledge,Korean,Sweden,2
297-83-4844,Reggi Jirick,Choctaw,Indonesia,230
880-35-6734,Lorene Waldera,Asian Indian,Philippines,331
751-77-1149,Afton Keelan,Chickasaw,Argentina,153
153-67-8622,Krispin Pfeffer,Blackfeet,China,212
765-38-9029,Elinore Rushton,Korean,Oman,260
322-61-0468,Zonnya Maxwaile,Sri Lankan,Sweden,318
274-13-3055,Alexio Mylchreest,Tlingit-Haida,China,101
521-68-1703,Solomon Guidera,Cambodian,Philippines,228
806-50-5382,Craig Ca,Apache,China,176
795-83-1016,Emlen Newburn,Seminole,France,108
822-71-8337,Rachael Greder,Paiute,Slovenia,296
403-69-6369,Noel Soall,Tlingit-Haida,Thailand,104
823-44-3829,Midge Comben,Salvadoran,Palestinian Territory,236
729-07-6561,Genia Scipsey,Pima,Brazil,95
617-58-4127,Waverly Rossbrook,Venezuelan,New Zealand,159
276-91-1841,Ellis Dahl,Tohono O'Odham,Japan,336
647-84-7435,Layne Wisden,American Indian,Pakistan,130
120-26-2885,Lesya Ixer,Venezuelan,Japan,379
569-24-1042,Helene Whistlecroft,South American,Poland,281
293-34-4476,Shep Carlos,Malaysian,China,131
773-89-6782,Jared McKennan,Bolivian,Russia,167
258-19-0577,Talbot Redmain,Crow,Philippines,156
139-69-3840,Brice Wethers,Polynesian,Peru,128
292-31-9899,Sunshine Cumpsty,Black or African American,Russia,62
890-75-0441,Major Stradling,Costa Rican,Portugal,169
474-06-8479,Ignaz Antrag,Choctaw,China,223
118-91-2285,Lindsey Stampfer,Delaware,Myanmar,61
511-03-0030,Elisabetta Gooderham,Filipino,Russia,329
532-60-6456,Kari Ponnsett,Costa Rican,Poland,263
875-65-1870,Codi O'Garmen,Vietnamese,China,121
864-78-6083,Daisi Reily,Iroquois,Honduras,45
747-26-6477,Erskine Lory,Cree,China,48
649-40-4695,Deena Kleanthous,Honduran,China,316
588-04-3344,Cecile Boord,Bangladeshi,Honduras,388
802-62-4381,Hubey Marke,Lumbee,France,215
636-68-0339,Howey Chew,Native Hawaiian,Bosnia and Herzegovina,334
182-16-2964,Sibylle Toke,Bangladeshi,Peru,385
349-81-9447,Rowe Stealey,Taiwanese,Netherlands,78
686-25-9103,Frasier Wanderschek,Latin American Indian,Sweden,140
177-76-6580,Sibley Murkin,Uruguayan,Yemen,104
368-74-9969,Stern Royall,Chilean,Norway,38
894-07-3489,Kasey Morrissey,Sioux,Russia,139
